"municipio","idh","pib_per_capta","populacao","salario_minimo_ medio"
"Angra dos Reis","0.724","53262.55","179120 ","3.1"
"Aperibé","0.692","20698.33","11420 ","1.7"
"Araruama","0.718","31109.37","137773 ","1.8"
"Areal","0.684","33490.89","12236 ","2.4"
"Armação dos Búzios","0.728","84721.42","42442 ","2"
"Arraial do Cabo","0.733","87763.22","32794 ","2"
"Barra do Piraí","0.733","26833.48","98501 ","1.7"
"Barra Mansa","0.729","34816.53","181688 ","2"
"Belford Roxo","0.684","17156.71","518263 ","1.8"
"Bom Jardim","0.66","31941.54","29736 ","1.9"
"Bom Jesus do Itabapoana","0.732","24343.72","37172 ","1.9"
"Cabo Frio","0.735","52801.54","238166 ","1.9"
"Cachoeiras de Macacu","0.7","21885.51","59837 ","2.1"
"Cambuci","0.691","25807.81","15070 ","2"
"Campos dos Goytacazes","0.716","72243.98","519011 ","2.2"
"Cantagalo","0.709","41730.95","19996 ","2.3"
"Carapebus","0.713","43108.68","14325 ","2.2"
"Cardoso Moreira","0.648","30853.68","13403 ","1.9"
"Carmo","0.696","29286.22","17740 ","1.9"
"Casimiro de Abreu","0.726","51285.71","48563 ","1.9"
"Comendador Levy Gasparian","0.685","70311.39","9044 ","1.9"
"Conceição de Macabu","0.712","18426.37","21769 ","2"
"Cordeiro","0.729","20592.99","21444 ","1.9"
"Duas Barras","0.659","21553.24","11354 ","1.8"
"Duque de Caxias","0.711","57170.07","866347 ","2.4"
"Engenheiro Paulo de Frontin","0.722","28769.59","12648 ","1.9"
"Guapimirim","0.698","21920.68","54300 ","1.9"
"Iguaba Grande","0.761","21517.5","29577 ","1.8"
"Itaboraí","0.693","23078.43","240040 ","1.9"
"Itaguaí","0.715","76916.73","123980 ","3.1"
"Italva","0.688","27215.6","14517 ","1.8"
"Itaocara","0.713","27396.34","23643 ","1.8"
"Itaperuna","0.73","32533.22","107246 ","1.9"
"Itatiaia","0.737","213339.67","32694 ","2.7"
"Japeri","0.659","14395.69","102149 ","2.3"
"Laje do Muriaé","0.668","25235.04","7584 ","1.8"
"Macaé","0.764","66684.01","264138 ","5.8"
"Macuco","0.703","38057.84","5601 ","2"
"Magé","0.709","19237.2","244092 ","1.6"
"Mangaratiba","0.753","69913.59","43624 ","2.3"
"Maricá","0.765","511810.82","211986 ","2.5"
"Mendes","0.736","19147.47","18049 ","1.7"
"Mesquita","0.737","14796.57","178803 ","1.8"
"Miguel Pereira","0.745","24686.21","28123 ","1.9"
"Miracema","0.713","24404.52","28411 ","1.9"
"Natividade","0.73","21186.94","15550 ","1.9"
"Nilópolis","0.753","18782.18","155544 ","1.7"
"Niterói","0.837","128333.01","516720 ","3"
"Nova Friburgo","0.745","33000.12","203328 ","1.8"
"Nova Iguaçu","0.713","21559.06","843046 ","2"
"Paracambi","0.72","21902.8","43656 ","1.6"
"Paraíba do Sul","0.702","28006.34","44467 ","1.7"
"Paraty","0.693","44262.66","47614 ","2.2"
"Paty do Alferes","0.671","24510.16","31345 ","1.9"
"Petrópolis","0.745","51003.6","294983 ","2.3"
"Pinheiral","0.715","56826.17","25085 ","1.6"
"Piraí","0.708","82208.92","29054 ","2.5"
"Porciúncula","0.697","21814.01","17832 ","2.2"
"Porto Real","0.713","209624.88","21064 ","3"
"Quatis","0.69","20945.97","14158 ","1.7"
"Queimados","0.68","28636.92","149093 ","2.1"
"Quissamã","0.704","234850.73","23126 ","2.8"
"Resende","0.768","80712.15","137612 ","2.9"
"Rio Bonito","0.71","30057.69","59113 ","1.7"
"Rio Claro","0.683","23342.67","17950 ","2.5"
"Rio das Flores","0.68","31314.82","9264 ","1.9"
"Rio das Ostras","0.773","56096.82","168099 ","3.7"
"Rio de Janeiro","0.799","53078.23","6729894 ","3.9"
"Santa Maria Madalena","0.668","22599.44","10579 ","2.1"
"Santo Antônio de Pádua","0.718","30081.81","43686 ","1.7"
"São Fidélis","0.691","21811.97","41197 ","1.7"
"São Francisco de Itabapoana","0.639","28060.15","47368 ","1.5"
"São Gonçalo","0.739","18504.81","960652 ","1.9"
"São João da Barra","0.671","269169.78","38708 ","4.6"
"São João de Meriti","0.719","18935.5","466536 ","1.7"
"São José de Ubá","0.652","27190.85","7315 ","1.6"
"São José do Vale do Rio Preto","0.66","33522.52","22799 ","1.9"
"São Pedro da Aldeia","0.712","25509.14","110556 ","2.8"
"São Sebastião do Alto","0.646","25625.42","7999 ","2.4"
"Sapucaia","0.675","54765.99","18289 ","1.8"
"Saquarema","0.709","458767.96","95201 ","2.1"
"Seropédica","0.713","56977.34","84737 ","3.6"
"Silva Jardim","0.654","27675.96","22026 ","2.4"
"Sumidouro","0.611","38202.73","15690 ","2.2"
"Tanguá","0.654","19902.27","32858 ","2.1"
"Teresópolis","0.73","31880.03","176692 ","2.1"
"Trajano de Moraes","0.667","22718.51","10652 ","2.1"
"Três Rios","0.725","76977.41","82300 ","2"
"Valença","0.738","40447.29","71462 ","2"
"Varre-Sai","0.659","23568.37","10559 ","2.4"
"Vassouras","0.714","35458.96","35904 ","2.2"
"Volta Redonda","0.771","71551.44","279898 ","2"
